

Calculating E_bulk....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:42:42     -905.142230        0.0001


The energy of the Fe bulk system is -905.1422300964848 eV.
Potential: MACE(large)    GB: Sigma17(410)










Calculating E_bulk_sub....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:   73 12:34:00    -1469.914472        0.0003
BFGS:   74 12:34:14    -1469.914472        0.0001
BFGS:   75 12:34:28    -1469.914472        0.0002
BFGS:   76 12:34:43    -1469.914472        0.0002
BFGS:   77 12:34:57    -1469.914472        0.0003
BFGS:   78 12:35:11    -1469.914472        0.0002
BFGS:   79 12:35:26    -1469.914472        0.0001
BFGS:   80 12:35:40    -1469.914472        0.0001
BFGS:   81 12:35:55    -1469.914472        0.0002
BFGS:   82 12:36:09    -1469.914472        0.0002
BFGS:   83 12:36:24    -1469.914472        0.0002
BFGS:   84 12:36:38    -1469.914472        0.0001


The E_gb_sub with site 45  (distance from GB plane: 0 angstrom) substituded by Cr atom is -1469.9144719548024 eV.
Potential: MACE(large)    GB: Sigma17(410)

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 12:36:53    -1469.831958        0.1668
BFGS:    1 12:37:07    -1469.835239        0.1501
BFGS:    2 12:37:21    -1469.851320        0.0737
BFGS:    3 12:37:35    -1469.852317        0.0675
BFGS:    4 12:37:49    -1469.859350        0.0576
BFGS:    5 12:38:04    -1469.859866        0.0528
BFGS:    6 12:38:18    -1469.862925        0.0226
BFGS:    7 12:38:32    -1469.863274        0.0310
BFGS:    8 12:38:46    -1469.863973        0.0412
BFGS:    9 12:39:00    -1469.864631        0.0333
BFGS:   10 12:39:14    -1469.865301        0.0251
BFGS:   11 12:39:29    -1469.865690        0.0263
BFGS:   12 12:39:43    -1469.866048        0.0397
BFGS:   13 12:39:57    -1469.866519        0.0421
BFGS:   14 12:40:12    -1469.867073        0.0271
BFGS:   15 12:40:26    -1469.867499        0.0195
BFGS:   16 12:40:40    -1469.867775        0.0196
BFGS:   17 12:40:54    -1469.868044        0.0313
BFGS:   18 12:41:08    -1469.868418        0.0354
BFGS:   19 12:41:23    -1469.868827        0.0260
BFGS:   20 12:41:37    -1469.869125        0.0184
BFGS:   21 12:41:51    -1469.869315        0.0212
BFGS:   22 12:42:05    -1469.869503        0.0284
BFGS:   23 12:42:19    -1469.869741        0.0264
BFGS:   24 12:42:33    -1469.869962        0.0181
BFGS:   25 12:42:48    -1469.870103        0.0167
BFGS:   26 12:43:02    -1469.870198        0.0156
BFGS:   27 12:43:16    -1469.870302        0.0183
BFGS:   28 12:43:30    -1469.870419        0.0144
BFGS:   29 12:43:44    -1469.870508        0.0146
BFGS:   30 12:43:58    -1469.870560        0.0123
BFGS:   31 12:44:12    -1469.870602        0.0082
BFGS:   32 12:44:26    -1469.870651        0.0091
BFGS:   33 12:44:40    -1469.870696        0.0085
BFGS:   34 12:44:54    -1469.870724        0.0089
BFGS:   35 12:45:08    -1469.870743        0.0062
BFGS:   36 12:45:23    -1469.870764        0.0053
BFGS:   37 12:45:37    -1469.870789        0.0056
BFGS:   38 12:45:51    -1469.870810        0.0061
BFGS:   39 12:46:05    -1469.870822        0.0056
BFGS:   40 12:46:19    -1469.870831        0.0042
BFGS:   41 12:46:33    -1469.870843        0.0041
BFGS:   42 12:46:47    -1469.870856        0.0045
BFGS:   43 12:47:02    -1469.870865        0.0052
BFGS:   44 12:47:16    -1469.870870        0.0040
BFGS:   45 12:47:30    -1469.870876        0.0024
BFGS:   46 12:47:44    -1469.870883        0.0026
BFGS:   47 12:47:58    -1469.870890        0.0023
BFGS:   48 12:48:13    -1469.870894        0.0018
BFGS:   49 12:48:27    -1469.870897        0.0017
BFGS:   50 12:48:41    -1469.870900        0.0020
